RelName,#Attributes,#Records,FirstBlock,LastBlock,#Slots
RELATIONCAT,6.000000,5.000000,4.000000,4.000000,20.000000
ATTRIBUTECAT,6.000000,20.000000,5.000000,5.000000,20.000000
Toys,4.000000,500.000000,6.000000,22.000000,31.000000
ToyColours,2.000000,500.000000,23.000000,31.000000,61.000000
ToyStocks,2.000000,500.000000,32.000000,40.000000,61.000000
RelName,#Attributes,#Records,FirstBlock,LastBlock,#Slots
RELATIONCAT,6.000000,5.000000,4.000000,4.000000,20.000000
ATTRIBUTECAT,6.000000,20.000000,5.000000,5.000000,20.000000
Toys,4.000000,500.000000,6.000000,22.000000,31.000000
ToyColours,2.000000,500.000000,23.000000,31.000000,61.000000
ToyStocks,2.000000,500.000000,32.000000,40.000000,61.000000
